Timestamp,TMAXOBS,TMINOBS,WMAXOBS,RTOTOBS,TMAXGFS,TMINGFS,WMAXGFS,RTOTGFS
2017-11-07,9.444444444444445,5.0,8.940545373267769,,8.94,3.24,6.511528238439883,0.01
2017-11-08,10.0,0.5555555555555556,4.470272686633884,0.0,8.64,1.54,3.2310988842807022,0.0
2017-11-09,11.666666666666666,-2.2222222222222223,10.281627179257935,0.0,8.94,-2.76,6.906518659932803,0.0
2017-11-10,2.7777777777777777,-6.111111111111111,7.152436298614215,0.0,2.84,-4.76,5.622277118748238,0.0
2017-11-11,7.222222222222222,-3.888888888888889,6.258381761287438,0.0,5.94,-2.36,4.341658669218482,0.0
2017-11-12,5.555555555555555,2.7777777777777777,4.917299955297273,,6.34,1.74,2.9154759474226504,2.15
2017-11-13,7.222222222222222,0.5555555555555556,4.470272686633884,0.0,8.94,-0.66,2.6925824035672523,0.0
2017-11-14,11.11111111111111,-1.1111111111111112,8.940545373267769,0.0,10.24,1.04,5.622277118748238,0.0
2017-11-15,13.88888888888889,0.5555555555555556,9.387572641931158,,12.84,2.94,8.221921916437786,10.58
2017-11-16,2.2222222222222223,-1.1111111111111112,6.705409029950827,0.0,6.74,-1.06,5.30754180388624,0.0
2017-11-17,11.11111111111111,-1.1111111111111112,9.834599910594546,,14.04,0.44,9.464142856064674,5.01
2017-11-18,17.22222222222222,1.6666666666666665,13.410818059901654,,20.14,0.94,12.242957159118054,29.97
2017-11-19,2.2222222222222223,-2.2222222222222223,8.940545373267769,0.0,2.34,-2.86,6.717886572427371,0.0
2017-11-20,11.11111111111111,-1.1111111111111112,11.6227089852481,0.0,9.74,-0.46,8.469356528095863,0.0
2017-11-21,11.11111111111111,-2.7777777777777777,10.281627179257935,,9.84,-0.86,8.5,0.48
2017-11-22,2.7777777777777777,-6.666666666666666,4.470272686633884,0.0,3.04,-2.96,4.5694638635183455,0.0
2017-11-23,10.0,-1.6666666666666665,7.152436298614215,0.0,7.34,-0.96,5.215361924162119,0.0
2017-11-24,15.555555555555555,-1.1111111111111112,10.728654447921322,0.0,13.04,1.64,8.35224520712844,0.46
2017-11-25,14.444444444444445,0.0,9.387572641931158,0.0,10.84,2.44,7.142128534267638,0.0
